"","LINEUP (NAMES)","NUMBERS","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","SCORE DIFFERENTIAL WHEN ENTER","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","QUARTER","game_id","LINEUP_SORTED"
"20","NAMBISAN,ISHA, LAFOND,LIV, DELMORE,KAYLA, PROUTY,ANNA, HEYER,ALLIE","23 34 21 20 5",4,6,5,206,0,10,27,2,8,3,8,9,4,"allegheny","DELMORE,KAYLA HEYER,ALLIE LAFOND,LIV NAMBISAN,ISHA PROUTY,ANNA"
"21","LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA","3 4 10 22 24",4,5,5,266,1,5,0,2,5,2,7,13,1,"brandeis","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE"
"22","LIGOTTI,PIPER, PROUTY,ANNA, CHINTALA,ANISHA, DELMORE,KAYLA, LAFOND,LIV","3 20 10 21 34",4,5,5,125,6,4,4,1,2,2,3,4,1,"brandeis","CHINTALA,ANISHA DELMORE,KAYLA LAFOND,LIV LIGOTTI,PIPER PROUTY,ANNA"
"23","HEYER,ALLIE, PROUTY,ANNA, NAMBISAN,ISHA, DELMORE,KAYLA, LAFOND,LIV","5 20 23 21 34",4,6,6,209,5,2,2,1,5,0,4,7,1,"brandeis","DELMORE,KAYLA HEYER,ALLIE LAFOND,LIV NAMBISAN,ISHA PROUTY,ANNA"
"24","LIGOTTI,PIPER, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, ARIAS,AVA","3 4 22 10 24",4,6,7,188,0,10,-1,2,6,0,4,6,2,"brandeis","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE"
"25","HEYER,ALLIE, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, ARIAS,AVA","5 4 22 10 24",4,1,0,47,0,0,9,0,0,0,0,0,2,"brandeis","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE"
"26","HEYER,ALLIE, GIBBS,SAVANNAH, OR,CATHERINE, LIGOTTI,PIPER, ARIAS,AVA","5 4 22 3 24",4,2,3,82,0,7,9,1,4,0,3,4,2,"brandeis","ARIAS,AVA GIBBS,SAVANNAH HEYER,ALLIE LIGOTTI,PIPER OR,CATHERINE"
"27","HEYER,ALLIE, GIBBS,SAVANNAH, DELMORE,KAYLA, LIGOTTI,PIPER, LAFOND,LIV","5 4 21 3 34",4,3,2,64,4,2,16,0,2,0,1,3,2,"brandeis","DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV LIGOTTI,PIPER"
"28","HEYER,ALLIE, PROUTY,ANNA, DELMORE,KAYLA, LIGOTTI,PIPER, ARIAS,AVA","5 20 21 3 24",4,3,4,107,5,2,14,0,1,0,1,1,2,"brandeis","ARIAS,AVA DELMORE,KAYLA HEYER,ALLIE LIGOTTI,PIPER PROUTY,ANNA"
"29","GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, LIGOTTI,PIPER, ARIAS,AVA","4 10 22 3 24",4,6,4,153,4,4,11,0,2,0,3,4,2,"brandeis","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE"
