"","LINEUP (NAMES)","NUMBERS","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","SCORE DIFFERENTIAL WHEN ENTER","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","QUARTER","game_id","LINEUP_SORTED"
"74","BLACK,AVA, DELMORE,KAYLA, LIGOTTI,PIPER, NAMBISAN,ISHA, ARIAS,AVA","1 21 3 23 24",4,3,4,109,2,7,2,2,3,2,2,3,1,"capital","ARIAS,AVA BLACK,AVA DELMORE,KAYLA LIGOTTI,PIPER NAMBISAN,ISHA"
"75","BLACK,AVA, DELMORE,KAYLA, LIGOTTI,PIPER, HEYER,ALLIE, ARIAS,AVA","1 21 3 5 24",4,2,2,51,2,0,7,1,1,0,2,2,1,"capital","ARIAS,AVA BLACK,AVA DELMORE,KAYLA HEYER,ALLIE LIGOTTI,PIPER"
"76","GIBBS,SAVANNAH, DELMORE,KAYLA, MATSKO,MEGAN, HEYER,ALLIE, LAFOND,LIV","4 21 13 5 34",4,3,3,112,5,6,5,2,2,0,0,0,2,"capital","DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV MATSKO,MEGAN"
"77","GIBBS,SAVANNAH, DELMORE,KAYLA, MATSKO,MEGAN, NAMBISAN,ISHA, LAFOND,LIV","4 21 13 23 34",4,5,6,155,5,5,6,1,5,0,2,6,2,"capital","DELMORE,KAYLA GIBBS,SAVANNAH LAFOND,LIV MATSKO,MEGAN NAMBISAN,ISHA"
"78","GIBBS,SAVANNAH, CHINTALA,ANISHA, MATSKO,MEGAN, NAMBISAN,ISHA, LAFOND,LIV","4 10 13 23 34",4,1,1,31,0,0,6,0,0,0,0,0,2,"capital","CHINTALA,ANISHA GIBBS,SAVANNAH LAFOND,LIV MATSKO,MEGAN NAMBISAN,ISHA"
"79","GIBBS,SAVANNAH, CHINTALA,ANISHA, HEYER,ALLIE, NAMBISAN,ISHA, ARIAS,AVA","4 10 5 23 24",4,6,6,169,9,4,6,1,8,0,4,7,2,"capital","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE NAMBISAN,ISHA"
"80","GIBBS,SAVANNAH, CHINTALA,ANISHA, HEYER,ALLIE, LIGOTTI,PIPER, ARIAS,AVA","4 10 5 3 24",4,4,3,133,3,4,1,2,5,0,4,6,2,"capital","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE LIGOTTI,PIPER"
"81","GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, MATSKO,MEGAN, LAFOND,LIV","4 10 21 13 34",4,4,5,196,10,8,2,4,6,0,1,4,3,"capital","CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LAFOND,LIV MATSKO,MEGAN"
"82","GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, BLACK,AVA, HEYER,ALLIE","4 10 21 1 5",3,1,0,15,2,0,0,0,0,0,0,0,3,"capital","BLACK,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE"
"83","GIBBS,SAVANNAH, LIGOTTI,PIPER, DELMORE,KAYLA, BLACK,AVA, HEYER,ALLIE","4 3 21 1 5",3,7,8,189,7,13,-2,1,6,2,3,4,3,"capital","BLACK,AVA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LIGOTTI,PIPER"
"84","GIBBS,SAVANNAH, LIGOTTI,PIPER, CHINTALA,ANISHA, BLACK,AVA, HEYER,ALLIE","4 3 10 1 5",3,2,1,65,4,0,4,1,2,0,1,3,3,"capital","BLACK,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE LIGOTTI,PIPER"
"85","ARIAS,AVA, LIGOTTI,PIPER, CHINTALA,ANISHA, BLACK,AVA, HEYER,ALLIE","24 3 10 1 5",4,2,2,63,2,3,0,1,2,0,0,2,3,"capital","ARIAS,AVA BLACK,AVA CHINTALA,ANISHA HEYER,ALLIE LIGOTTI,PIPER"
"86","ARIAS,AVA, LIGOTTI,PIPER, CHINTALA,ANISHA, GIBBS,SAVANNAH, HEYER,ALLIE","24 3 10 4 5",4,1,1,26,2,2,1,0,1,0,0,0,3,"capital","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE LIGOTTI,PIPER"
"87","ARIAS,AVA, LIGOTTI,PIPER, DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE","24 3 21 4 5",4,6,6,192,6,4,1,4,8,0,5,11,3,"capital","ARIAS,AVA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LIGOTTI,PIPER"
"88","LAFOND,LIV, MATSKO,MEGAN, DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE","34 13 21 4 5",4,3,3,70,8,2,-1,1,2,0,0,2,4,"capital","DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV MATSKO,MEGAN"
"89","LAFOND,LIV, CHINTALA,ANISHA, DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE","34 10 21 4 5",4,0,0,20,0,0,-7,0,0,0,0,0,4,"capital","CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV"
"90","BLACK,AVA, CHINTALA,ANISHA, DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE","1 10 21 4 5",3,4,5,158,3,10,-7,2,4,0,3,6,4,"capital","BLACK,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE"
"91","BLACK,AVA, LIGOTTI,PIPER, DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE","1 3 21 4 5",3,3,2,89,0,2,0,1,2,0,3,4,4,"capital","BLACK,AVA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LIGOTTI,PIPER"
"92","LAFOND,LIV, LIGOTTI,PIPER, DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE","34 3 21 4 5",4,2,2,81,0,0,2,1,2,0,1,3,4,"capital","DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV LIGOTTI,PIPER"
"93","BLACK,AVA, LIGOTTI,PIPER, DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE","1 3 21 4 5",3,0,1,12,0,1,2,0,0,2,0,0,4,"capital","BLACK,AVA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LIGOTTI,PIPER"
"94","LAFOND,LIV, LIGOTTI,PIPER, DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE","34 3 21 4 5",4,1,1,14,0,2,3,0,0,2,0,0,4,"capital","DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV LIGOTTI,PIPER"
"95","LAFOND,LIV, CHINTALA,ANISHA, DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE","34 10 21 4 5",4,1,0,10,0,0,5,0,0,0,0,2,4,"capital","CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV"
"96","GIBBS,SAVANNAH, HEYER,ALLIE, DELMORE,KAYLA, OR,CATHERINE, LAFOND,LIV","4 5 21 22 34",4,6,6,201,8,5,0,2,5,0,3,6,1,"carnegie mellon","DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV OR,CATHERINE"
"97","GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, OR,CATHERINE, LAFOND,LIV","4 10 21 22 34",4,4,4,93,5,0,-3,0,1,0,2,2,1,"carnegie mellon","CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LAFOND,LIV OR,CATHERINE"
"98","GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA","4 10 23 22 24",4,4,3,118,1,2,-8,0,2,0,3,7,1,"carnegie mellon","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"99","GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, LIGOTTI,PIPER, ARIAS,AVA","4 10 23 3 24",4,5,6,132,2,4,-7,0,3,0,2,3,1,"carnegie mellon","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER NAMBISAN,ISHA"
"100","GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, LIGOTTI,PIPER, ARIAS,AVA","4 10 21 3 24",4,2,2,56,2,0,-5,0,2,0,1,4,1,"carnegie mellon","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LIGOTTI,PIPER"
"101","PROUTY,ANNA, CHINTALA,ANISHA, DELMORE,KAYLA, LIGOTTI,PIPER, ARIAS,AVA","20 10 21 3 24",4,3,3,81,5,0,-7,0,2,0,1,3,2,"carnegie mellon","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA LIGOTTI,PIPER PROUTY,ANNA"
"102","PROUTY,ANNA, CHINTALA,ANISHA, OR,CATHERINE, LIGOTTI,PIPER, ARIAS,AVA","20 10 22 3 24",4,1,1,28,0,2,-12,0,1,0,0,0,2,"carnegie mellon","ARIAS,AVA CHINTALA,ANISHA LIGOTTI,PIPER OR,CATHERINE PROUTY,ANNA"
"103","GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, HEYER,ALLIE, ARIAS,AVA","4 10 22 5 24",4,3,3,99,3,4,-10,1,3,0,1,3,2,"carnegie mellon","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE"
"104","GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, HEYER,ALLIE, LAFOND,LIV","4 10 22 5 34",4,2,2,91,3,2,-9,2,4,0,4,4,2,"carnegie mellon","CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV OR,CATHERINE"
"105","GIBBS,SAVANNAH, DELMORE,KAYLA, OR,CATHERINE, HEYER,ALLIE, LAFOND,LIV","4 21 22 5 34",4,1,2,53,0,2,-10,0,2,0,1,2,2,"carnegie mellon","DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV OR,CATHERINE"
"106","GIBBS,SAVANNAH, DELMORE,KAYLA, CHINTALA,ANISHA, HEYER,ALLIE, LAFOND,LIV","4 21 10 5 34",4,3,2,56,2,0,-8,1,2,0,0,3,2,"carnegie mellon","CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV"
"107","GIBBS,SAVANNAH, DELMORE,KAYLA, CHINTALA,ANISHA, OR,CATHERINE, LAFOND,LIV","4 21 10 22 34",4,5,5,146,3,5,-10,3,4,0,2,4,2,"carnegie mellon","CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LAFOND,LIV OR,CATHERINE"
"108","GIBBS,SAVANNAH, LIGOTTI,PIPER, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA","4 3 10 22 24",4,1,2,46,0,2,-8,0,1,0,1,1,2,"carnegie mellon","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE"
"109","GIBBS,SAVANNAH, HEYER,ALLIE, DELMORE,KAYLA, OR,CATHERINE, LAFOND,LIV","4 5 21 22 34",4,7,6,227,6,6,-6,4,7,0,2,5,3,"carnegie mellon","DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV OR,CATHERINE"
"110","GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, OR,CATHERINE, ARIAS,AVA","4 10 21 22 24",4,1,1,81,2,2,-6,1,4,0,3,3,3,"carnegie mellon","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH OR,CATHERINE"
"111","GIBBS,SAVANNAH, CHINTALA,ANISHA, LIGOTTI,PIPER, OR,CATHERINE, ARIAS,AVA","4 10 3 22 24",4,9,9,292,6,8,-6,1,7,1,4,8,3,"carnegie mellon","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE"
"112","GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, OR,CATHERINE, ARIAS,AVA","4 10 21 22 24",4,2,2,83,2,3,-4,2,2,0,1,2,4,"carnegie mellon","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH OR,CATHERINE"
"113","PROUTY,ANNA, CHINTALA,ANISHA, DELMORE,KAYLA, OR,CATHERINE, ARIAS,AVA","20 10 21 22 24",4,1,1,52,0,0,-3,1,1,0,0,1,4,"carnegie mellon","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA OR,CATHERINE PROUTY,ANNA"
"114","HEYER,ALLIE, GIBBS,SAVANNAH, DELMORE,KAYLA, OR,CATHERINE, ARIAS,AVA","5 4 21 22 24",4,3,3,99,4,2,-3,1,2,0,1,2,4,"carnegie mellon","ARIAS,AVA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE"
"115","HEYER,ALLIE, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA","5 4 10 22 24",4,1,2,52,0,0,-5,0,2,0,1,2,4,"carnegie mellon","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE"
"116","DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA","21 4 10 22 24",4,2,1,61,2,0,-5,1,1,0,1,2,4,"carnegie mellon","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH OR,CATHERINE"
"117","DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, LAFOND,LIV","21 4 10 22 34",4,3,4,99,2,4,-7,0,3,0,1,3,4,"carnegie mellon","CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LAFOND,LIV OR,CATHERINE"
"118","DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA","21 4 10 22 24",4,4,4,154,2,4,-5,3,5,0,4,7,4,"carnegie mellon","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH OR,CATHERINE"
"119","GIBBS,SAVANNAH, HEYER,ALLIE, DELMORE,KAYLA, OR,CATHERINE, LAFOND,LIV","4 5 21 22 34",4,8,8,227,4,11,0,3,9,3,4,9,1,"carnegie mellon2","DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV OR,CATHERINE"
"120","GIBBS,SAVANNAH, HEYER,ALLIE, DELMORE,KAYLA, CHINTALA,ANISHA, ARIAS,AVA","4 5 21 10 24",4,2,2,73,3,0,7,0,0,0,1,2,1,"carnegie mellon2","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE"
"121","LIGOTTI,PIPER, HEYER,ALLIE, PROUTY,ANNA, CHINTALA,ANISHA, ARIAS,AVA","3 5 20 10 24",4,6,6,244,9,3,4,3,7,0,5,10,1,"carnegie mellon2","ARIAS,AVA CHINTALA,ANISHA HEYER,ALLIE LIGOTTI,PIPER PROUTY,ANNA"
"122","LIGOTTI,PIPER, GIBBS,SAVANNAH, OR,CATHERINE, DELMORE,KAYLA, ARIAS,AVA","3 4 22 21 24",4,1,1,8,0,0,-2,0,0,0,1,1,1,"carnegie mellon2","ARIAS,AVA DELMORE,KAYLA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE"
"123","NAMBISAN,ISHA, GIBBS,SAVANNAH, OR,CATHERINE, DELMORE,KAYLA, ARIAS,AVA","23 4 22 21 24",4,2,1,48,0,0,-2,1,1,0,1,2,1,"carnegie mellon2","ARIAS,AVA DELMORE,KAYLA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"124","NAMBISAN,ISHA, GIBBS,SAVANNAH, OR,CATHERINE, DELMORE,KAYLA, HEYER,ALLIE","23 4 22 21 5",4,5,5,150,2,4,-2,3,3,2,2,7,2,"carnegie mellon2","DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE"
"125","NAMBISAN,ISHA, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, HEYER,ALLIE","23 4 22 10 5",4,4,5,138,3,9,0,2,6,1,2,5,2,"carnegie mellon2","CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE"
"126","NAMBISAN,ISHA, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, DELMORE,KAYLA","23 4 22 10 21",4,1,1,26,2,0,6,0,0,0,1,1,2,"carnegie mellon2","CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"127","NAMBISAN,ISHA, PROUTY,ANNA, OR,CATHERINE, CHINTALA,ANISHA, DELMORE,KAYLA","23 20 22 10 21",4,8,7,286,6,7,4,4,10,1,6,11,2,"carnegie mellon2","CHINTALA,ANISHA DELMORE,KAYLA NAMBISAN,ISHA OR,CATHERINE PROUTY,ANNA"
"128","LAFOND,LIV, HEYER,ALLIE, OR,CATHERINE, GIBBS,SAVANNAH, DELMORE,KAYLA","34 5 22 4 21",4,5,5,175,5,4,5,2,5,0,1,6,3,"carnegie mellon2","DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV OR,CATHERINE"
"129","ARIAS,AVA, LIGOTTI,PIPER, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA","24 3 22 4 10",4,6,7,185,4,4,4,1,3,4,3,6,3,"carnegie mellon2","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE"
"130","ARIAS,AVA, LIGOTTI,PIPER, DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA","24 3 21 4 10",4,1,1,26,2,0,4,0,0,0,0,0,3,"carnegie mellon2","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LIGOTTI,PIPER"
"131","ARIAS,AVA, HEYER,ALLIE, DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA","24 5 21 4 10",4,5,4,136,5,1,2,4,4,2,1,4,3,"carnegie mellon2","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE"
"132","ARIAS,AVA, HEYER,ALLIE, DELMORE,KAYLA, LAFOND,LIV, CHINTALA,ANISHA","24 5 21 34 10",5,6,6,206,2,6,-2,3,6,2,4,7,3,"carnegie mellon2","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA HEYER,ALLIE LAFOND,LIV"
"133","ARIAS,AVA, HEYER,ALLIE, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA","24 5 4 22 10",4,16,15,472,7,20,2,0,13,2,10,14,4,"carnegie mellon2","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE"
"134","LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA","3 4 10 22 24",4,7,7,240,4,6,0,2,7,0,6,9,1,"case western reserve","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE"
"135","LIGOTTI,PIPER, PROUTY,ANNA, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA","3 20 10 22 24",4,4,3,111,2,2,2,1,2,0,2,2,1,"case western reserve","ARIAS,AVA CHINTALA,ANISHA LIGOTTI,PIPER OR,CATHERINE PROUTY,ANNA"
"136","LIGOTTI,PIPER, PROUTY,ANNA, CHINTALA,ANISHA, OR,CATHERINE, GIBBS,SAVANNAH","3 20 10 22 4",3,2,2,53,2,5,2,1,2,0,1,1,1,"case western reserve","CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE PROUTY,ANNA"
"137","HEYER,ALLIE, LAFOND,LIV, CHINTALA,ANISHA, OR,CATHERINE, GIBBS,SAVANNAH","5 34 10 22 4",4,5,5,142,7,8,5,1,5,0,0,2,1,"case western reserve","CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV OR,CATHERINE"
"138","HEYER,ALLIE, LAFOND,LIV, CHINTALA,ANISHA, DELMORE,KAYLA, GIBBS,SAVANNAH","5 34 10 21 4",4,2,3,97,2,2,6,1,3,0,3,4,1,"case western reserve","CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE LAFOND,LIV"
"139","HEYER,ALLIE, ARIAS,AVA, OR,CATHERINE, DELMORE,KAYLA, GIBBS,SAVANNAH","5 24 22 21 4",4,3,3,96,0,2,6,1,2,0,2,4,2,"case western reserve","ARIAS,AVA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE"
"140","CHINTALA,ANISHA, ARIAS,AVA, OR,CATHERINE, PROUTY,ANNA, LIGOTTI,PIPER","10 24 22 20 3",4,2,2,56,2,0,8,0,0,0,0,1,2,"case western reserve","ARIAS,AVA CHINTALA,ANISHA LIGOTTI,PIPER OR,CATHERINE PROUTY,ANNA"
"141","CHINTALA,ANISHA, GIBBS,SAVANNAH, OR,CATHERINE, PROUTY,ANNA, LIGOTTI,PIPER","10 4 22 20 3",3,2,2,61,3,2,6,1,2,0,1,2,2,"case western reserve","CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE PROUTY,ANNA"
"142","CHINTALA,ANISHA, GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA, LIGOTTI,PIPER","10 4 22 24 3",4,1,2,46,0,2,5,0,1,2,1,2,2,"case western reserve","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE"
"143","HEYER,ALLIE, GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA, LIGOTTI,PIPER","5 4 22 24 3",4,1,1,36,0,2,7,0,1,1,1,2,2,"case western reserve","ARIAS,AVA GIBBS,SAVANNAH HEYER,ALLIE LIGOTTI,PIPER OR,CATHERINE"
"144","HEYER,ALLIE, GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA","5 4 22 24 10",4,4,3,97,1,2,9,0,2,0,3,4,2,"case western reserve","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE"
"145","LIGOTTI,PIPER, GIBBS,SAVANNAH, DELMORE,KAYLA, ARIAS,AVA, CHINTALA,ANISHA","3 4 21 24 10",4,1,1,40,0,0,10,1,1,0,1,2,2,"case western reserve","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LIGOTTI,PIPER"
"146","LIGOTTI,PIPER, GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA","3 4 22 24 10",4,8,7,275,9,9,10,1,6,0,5,8,2,"case western reserve","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE"
"147","LIGOTTI,PIPER, PROUTY,ANNA, OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA","3 20 22 24 10",4,2,3,108,0,6,10,1,4,0,3,4,3,"case western reserve","ARIAS,AVA CHINTALA,ANISHA LIGOTTI,PIPER OR,CATHERINE PROUTY,ANNA"
"148","DELMORE,KAYLA, PROUTY,ANNA, NAMBISAN,ISHA, ARIAS,AVA, CHINTALA,ANISHA","21 20 23 24 10",4,2,1,27,2,0,16,0,0,0,1,2,3,"case western reserve","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA NAMBISAN,ISHA PROUTY,ANNA"
"149","DELMORE,KAYLA, GIBBS,SAVANNAH, NAMBISAN,ISHA, LAFOND,LIV, CHINTALA,ANISHA","21 4 23 34 10",4,0,1,8,0,0,14,0,0,0,0,0,3,"case western reserve","CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LAFOND,LIV NAMBISAN,ISHA"
"150","OR,CATHERINE, GIBBS,SAVANNAH, NAMBISAN,ISHA, LAFOND,LIV, CHINTALA,ANISHA","22 4 23 34 10",4,2,2,64,0,4,14,0,3,0,2,2,3,"case western reserve","CHINTALA,ANISHA GIBBS,SAVANNAH LAFOND,LIV NAMBISAN,ISHA OR,CATHERINE"
"151","OR,CATHERINE, PROUTY,ANNA, NAMBISAN,ISHA, ARIAS,AVA, CHINTALA,ANISHA","22 20 23 24 10",4,3,2,83,2,3,18,2,2,0,2,2,3,"case western reserve","ARIAS,AVA CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE PROUTY,ANNA"
"152","OR,CATHERINE, PROUTY,ANNA, NAMBISAN,ISHA, ARIAS,AVA, HEYER,ALLIE","22 20 23 24 5",4,5,5,160,2,3,19,3,5,0,6,8,3,"case western reserve","ARIAS,AVA HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE PROUTY,ANNA"
"153","OR,CATHERINE, GIBBS,SAVANNAH, DELMORE,KAYLA, ARIAS,AVA, HEYER,ALLIE","22 4 21 24 5",4,3,2,92,3,2,20,0,1,0,2,2,4,"case western reserve","ARIAS,AVA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE"
"154","OR,CATHERINE, GIBBS,SAVANNAH, DELMORE,KAYLA, LAFOND,LIV, CHINTALA,ANISHA","22 4 21 34 10",4,2,3,76,2,5,19,0,2,2,0,1,4,"case western reserve","CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LAFOND,LIV OR,CATHERINE"
"155","LIGOTTI,PIPER, GIBBS,SAVANNAH, DELMORE,KAYLA, LAFOND,LIV, CHINTALA,ANISHA","3 4 21 34 10",4,1,0,7,3,0,22,0,0,0,0,0,4,"case western reserve","CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LAFOND,LIV LIGOTTI,PIPER"
"156","LIGOTTI,PIPER, ARIAS,AVA, DELMORE,KAYLA, LAFOND,LIV, CHINTALA,ANISHA","3 24 21 34 10",5,0,0,4,0,0,19,0,0,0,0,0,4,"case western reserve","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA LAFOND,LIV LIGOTTI,PIPER"
"157","LIGOTTI,PIPER, ARIAS,AVA, OR,CATHERINE, LAFOND,LIV, CHINTALA,ANISHA","3 24 22 34 10",5,1,1,42,0,2,19,0,1,0,1,1,4,"case western reserve","ARIAS,AVA CHINTALA,ANISHA LAFOND,LIV LIGOTTI,PIPER OR,CATHERINE"
"158","LIGOTTI,PIPER, ARIAS,AVA, OR,CATHERINE, PROUTY,ANNA, CHINTALA,ANISHA","3 24 22 20 10",4,4,5,173,4,5,21,1,7,0,5,9,4,"case western reserve","ARIAS,AVA CHINTALA,ANISHA LIGOTTI,PIPER OR,CATHERINE PROUTY,ANNA"
