"","LINEUP (NAMES)","NUMBERS","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","SCORE DIFFERENTIAL WHEN ENTER","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","QUARTER","game_id","LINEUP_SORTED"
"17","BANEY,PAYTON, GIBBS,SAVANNAH, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA","15 4 24 22 10",3,1,1,31,0,4,12,0,1,2,1,1,4,"allegheny","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"18","BANEY,PAYTON, GIBBS,SAVANNAH, TIMKO,NICOLE, PEPER,ANYA, CHINTALA,ANISHA","15 4 24 14 10",3,1,2,84,2,2,16,0,2,1,2,3,4,"allegheny","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH PEPER,ANYA TIMKO,NICOLE"
"19","BANEY,PAYTON, PROUTY,ANNA, TIMKO,NICOLE, PEPER,ANYA, CHINTALA,ANISHA","15 11 24 14 10",3,2,1,52,2,2,16,0,1,0,0,0,4,"allegheny","BANEY,PAYTON CHINTALA,ANISHA PEPER,ANYA PROUTY,ANNA TIMKO,NICOLE"
"20","BANEY,PAYTON, PROUTY,ANNA, TIMKO,NICOLE, PEPER,ANYA, OR,CATHERINE","15 11 24 14 22",3,1,2,50,0,4,16,1,2,2,2,2,4,"allegheny","BANEY,PAYTON OR,CATHERINE PEPER,ANYA PROUTY,ANNA TIMKO,NICOLE"
"21","LAFOND,LIV, PROUTY,ANNA, KATZ,JUSTINE, PEPER,ANYA, OR,CATHERINE","43 11 2 14 22",3,4,3,74,0,4,20,0,3,0,4,4,4,"allegheny","KATZ,JUSTINE LAFOND,LIV OR,CATHERINE PEPER,ANYA PROUTY,ANNA"
"22","LAFOND,LIV, PROUTY,ANNA, KATZ,JUSTINE, PEPER,ANYA, LIGOTTI,PIPER","43 11 2 14 3",3,1,2,78,2,4,24,1,3,0,1,1,4,"allegheny","KATZ,JUSTINE LAFOND,LIV LIGOTTI,PIPER PEPER,ANYA PROUTY,ANNA"
"23","GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA","4 10 22 23 33",4,9,10,284,9,9,0,3,7,0,1,5,1,"baldwin wallace","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"24","GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, BANEY,PAYTON, TIMKO,NICOLE","4 10 22 15 24",3,3,2,110,4,0,0,0,2,0,1,2,1,"baldwin wallace","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"25","GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, BANEY,PAYTON, TIMKO,NICOLE","4 10 33 15 24",3,2,2,61,0,0,-4,0,1,0,1,2,1,"baldwin wallace","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA TIMKO,NICOLE"
"26","ARIAS,AVA, CHINTALA,ANISHA, NAMBISAN,ISHA, BANEY,PAYTON, TIMKO,NICOLE","23 10 33 15 24",4,1,2,66,0,2,-4,0,1,0,0,2,1,"baldwin wallace","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA TIMKO,NICOLE"
