"","LINEUP (NAMES)","NUMBERS","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","SCORE DIFFERENTIAL WHEN ENTER","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","QUARTER","game_id","LINEUP_SORTED"
"228","GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE, ARIAS,AVA","4 10 22 24 23",4,3,2,108,3,2,-4,0,1,0,2,2,2,"denison","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"229","GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA, ARIAS,AVA","4 10 22 33 23",4,4,4,158,3,2,-5,0,3,0,2,4,2,"denison","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"230","BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE","15 10 22 33 24",4,5,5,202,5,6,-6,2,6,2,3,6,2,"denison","BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"231","GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE","4 10 22 33 24",4,3,3,90,5,0,-5,0,2,0,1,4,2,"denison","CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"232","HEYER,ALLIE, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA, BANEY,PAYTON","5 10 22 33 15",4,1,2,42,0,5,-10,1,2,0,1,1,2,"denison","BANEY,PAYTON CHINTALA,ANISHA HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE"
"233","GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA, ARIAS,AVA","4 10 22 33 23",4,7,6,206,9,8,-5,1,5,2,2,4,3,"denison","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"234","GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE","4 15 22 33 24",3,6,7,251,3,15,-6,3,6,0,5,6,3,"denison","BANEY,PAYTON GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"235","GIBBS,SAVANNAH, BANEY,PAYTON, CHINTALA,ANISHA, NAMBISAN,ISHA, TIMKO,NICOLE","4 15 10 33 24",3,1,0,12,2,0,6,0,0,0,0,0,3,"denison","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA TIMKO,NICOLE"
"236","GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE","4 15 22 33 24",3,5,4,163,3,5,4,1,4,4,5,6,3,"denison","BANEY,PAYTON GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"237","GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE, NAMBISAN,ISHA, CHINTALA,ANISHA","4 15 22 33 10",3,5,5,195,4,12,6,2,5,0,1,1,4,"denison","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"238","GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE, TIMKO,NICOLE, CHINTALA,ANISHA","4 15 22 24 10",3,0,1,14,0,0,14,0,0,0,0,0,4,"denison","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"239","GIBBS,SAVANNAH, ARIAS,AVA, OR,CATHERINE, TIMKO,NICOLE, CHINTALA,ANISHA","4 23 22 24 10",4,2,1,26,0,1,14,0,0,2,0,0,4,"denison","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"240","GIBBS,SAVANNAH, ARIAS,AVA, DELMORE,KAYLA, TIMKO,NICOLE, CHINTALA,ANISHA","4 23 21 24 10",4,2,2,96,2,2,15,0,2,0,0,2,4,"denison","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH TIMKO,NICOLE"
"241","BANEY,PAYTON, ARIAS,AVA, DELMORE,KAYLA, TIMKO,NICOLE, CHINTALA,ANISHA","15 23 21 24 10",4,1,1,37,1,0,15,0,1,0,0,1,4,"denison","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA DELMORE,KAYLA TIMKO,NICOLE"
"242","BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE, TIMKO,NICOLE, CHINTALA,ANISHA","15 33 22 24 10",4,4,5,147,4,7,14,0,4,1,1,2,4,"denison","BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"243","BANEY,PAYTON, NAMBISAN,ISHA, GIBBS,SAVANNAH, DELMORE,KAYLA, CHINTALA,ANISHA","15 33 4 21 10",3,2,1,53,0,0,17,0,0,0,2,2,4,"denison","BANEY,PAYTON CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH NAMBISAN,ISHA"
"244","BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA","15 4 10 22 33",3,6,5,158,8,2,0,0,4,0,2,5,1,"emory","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"245","BANEY,PAYTON, ARIAS,AVA, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE","15 23 10 22 24",4,2,2,72,1,3,-6,1,1,0,0,0,1,"emory","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA OR,CATHERINE TIMKO,NICOLE"
"246","BANEY,PAYTON, ARIAS,AVA, DELMORE,KAYLA, OR,CATHERINE, TIMKO,NICOLE","15 23 21 22 24",4,2,3,115,0,2,-4,1,2,0,4,6,1,"emory","ARIAS,AVA BANEY,PAYTON DELMORE,KAYLA OR,CATHERINE TIMKO,NICOLE"
"247","GIBBS,SAVANNAH, ARIAS,AVA, DELMORE,KAYLA, OR,CATHERINE, TIMKO,NICOLE","4 23 21 22 24",4,1,1,34,2,0,-2,0,1,0,0,2,1,"emory","ARIAS,AVA DELMORE,KAYLA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"248","GIBBS,SAVANNAH, ARIAS,AVA, DELMORE,KAYLA, OR,CATHERINE, CHINTALA,ANISHA","4 23 21 22 10",4,1,1,20,0,1,-4,0,0,2,1,1,1,"emory","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH OR,CATHERINE"
"249","GIBBS,SAVANNAH, ARIAS,AVA, DELMORE,KAYLA, NAMBISAN,ISHA, CHINTALA,ANISHA","4 23 21 33 10",4,7,7,201,4,8,-3,4,6,0,2,6,1,"emory","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH NAMBISAN,ISHA"
"250","GIBBS,SAVANNAH, OR,CATHERINE, BANEY,PAYTON, NAMBISAN,ISHA, CHINTALA,ANISHA","4 22 15 33 10",3,6,5,203,11,2,1,2,3,0,1,3,2,"emory","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"251","GIBBS,SAVANNAH, OR,CATHERINE, BANEY,PAYTON, TIMKO,NICOLE, HEYER,ALLIE","4 22 15 24 5",3,4,4,172,3,7,-8,2,4,0,3,5,2,"emory","BANEY,PAYTON GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE TIMKO,NICOLE"
"252","GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA, TIMKO,NICOLE, HEYER,ALLIE","4 22 23 24 5",4,1,2,74,2,0,-4,2,2,0,0,4,2,"emory","ARIAS,AVA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE TIMKO,NICOLE"
"253","PROUTY,ANNA, OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA, HEYER,ALLIE","11 22 15 10 5",3,2,1,70,3,0,-6,1,2,0,2,3,2,"emory","BANEY,PAYTON CHINTALA,ANISHA HEYER,ALLIE OR,CATHERINE PROUTY,ANNA"
"254","PROUTY,ANNA, OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA, NAMBISAN,ISHA","11 22 15 10 33",3,3,3,81,4,4,-9,0,3,0,0,1,2,"emory","BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE PROUTY,ANNA"
"255","GIBBS,SAVANNAH, OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA, NAMBISAN,ISHA","4 22 15 10 33",3,6,6,223,4,4,-9,2,6,2,4,11,3,"emory","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"256","GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA, TIMKO,NICOLE","4 22 23 10 24",4,2,3,100,5,4,-9,0,2,4,1,2,3,"emory","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"257","GIBBS,SAVANNAH, OR,CATHERINE, HEYER,ALLIE, CHINTALA,ANISHA, TIMKO,NICOLE","4 22 5 10 24",4,3,2,116,3,2,-10,0,1,2,1,2,3,"emory","CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE TIMKO,NICOLE"
"258","GIBBS,SAVANNAH, OR,CATHERINE, HEYER,ALLIE, DELMORE,KAYLA, TIMKO,NICOLE","4 22 5 21 24",4,8,8,254,12,11,-11,3,10,1,3,9,3,"emory","DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE TIMKO,NICOLE"
"259","CHINTALA,ANISHA, OR,CATHERINE, BANEY,PAYTON, NAMBISAN,ISHA, TIMKO,NICOLE","10 22 15 33 24",4,3,3,106,4,4,-12,1,3,0,0,1,4,"emory","BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"260","CHINTALA,ANISHA, OR,CATHERINE, BANEY,PAYTON, NAMBISAN,ISHA, ARIAS,AVA","10 22 15 33 23",4,1,2,57,0,1,-12,1,1,2,1,2,4,"emory","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE"
"261","CHINTALA,ANISHA, OR,CATHERINE, BANEY,PAYTON, NAMBISAN,ISHA, GIBBS,SAVANNAH","10 22 15 33 4",3,7,6,181,5,5,-11,2,5,0,1,4,4,"emory","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"262","CHINTALA,ANISHA, OR,CATHERINE, BANEY,PAYTON, TIMKO,NICOLE, GIBBS,SAVANNAH","10 22 15 24 4",3,2,2,77,2,2,-11,2,2,2,3,4,4,"emory","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"263","HEYER,ALLIE, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE, GIBBS,SAVANNAH","5 22 33 24 4",4,0,1,16,0,1,-11,0,0,2,0,0,4,"emory","GIBBS,SAVANNAH HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"264","CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE, GIBBS,SAVANNAH","10 22 33 24 4",4,2,1,28,1,2,-10,0,1,0,1,2,4,"emory","CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"265","HEYER,ALLIE, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE, GIBBS,SAVANNAH","5 22 33 24 4",4,2,3,42,3,2,-9,0,2,0,1,2,4,"emory","GIBBS,SAVANNAH HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"266","BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA","15 4 10 22 33",3,6,6,196,11,4,0,0,2,2,1,3,1,"emory2","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"267","BANEY,PAYTON, ARIAS,AVA, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA","15 23 10 22 33",4,1,2,68,0,3,-7,2,2,0,1,4,1,"emory2","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE"
"268","BANEY,PAYTON, ARIAS,AVA, TIMKO,NICOLE, OR,CATHERINE, NAMBISAN,ISHA","15 23 24 22 33",4,2,2,57,4,2,-4,0,1,2,0,1,1,"emory2","ARIAS,AVA BANEY,PAYTON NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"269","GIBBS,SAVANNAH, ARIAS,AVA, TIMKO,NICOLE, OR,CATHERINE, NAMBISAN,ISHA","4 23 24 22 33",4,2,2,61,3,3,-6,2,2,0,1,2,1,"emory2","ARIAS,AVA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"270","GIBBS,SAVANNAH, ARIAS,AVA, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA","4 23 24 22 10",4,5,4,127,8,2,-6,0,3,0,2,4,1,"emory2","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"271","GIBBS,SAVANNAH, NAMBISAN,ISHA, TIMKO,NICOLE, BANEY,PAYTON, CHINTALA,ANISHA","4 33 24 15 10",3,3,3,91,2,0,-12,0,2,0,1,3,1,"emory2","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA TIMKO,NICOLE"
"272","GIBBS,SAVANNAH, NAMBISAN,ISHA, OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA","4 33 22 15 10",3,4,3,104,5,0,-14,1,1,0,1,3,2,"emory2","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"273","TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA","24 33 22 15 10",4,3,4,96,0,2,-19,1,4,2,2,6,2,"emory2","BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"274","HEYER,ALLIE, NAMBISAN,ISHA, OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA","5 33 22 15 10",4,8,8,219,10,13,-17,1,7,2,3,7,2,"emory2","BANEY,PAYTON CHINTALA,ANISHA HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE"
"275","HEYER,ALLIE, TIMKO,NICOLE, OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA","5 24 22 23 10",5,6,6,181,0,6,-14,1,7,0,4,8,2,"emory2","ARIAS,AVA CHINTALA,ANISHA HEYER,ALLIE OR,CATHERINE TIMKO,NICOLE"
"276","GIBBS,SAVANNAH, NAMBISAN,ISHA, OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA","4 33 22 15 10",3,6,6,178,3,2,-8,3,5,2,6,9,3,"emory2","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"277","TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA","24 33 22 15 10",4,3,3,62,0,4,-9,0,3,2,2,3,3,"emory2","BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"278","TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA","24 33 22 23 10",5,5,4,157,0,2,-5,1,5,0,5,8,3,"emory2","ARIAS,AVA CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"279","TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA, BANEY,PAYTON","24 33 22 23 15",4,0,1,16,0,0,-3,0,0,0,0,0,3,"emory2","ARIAS,AVA BANEY,PAYTON NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"280","TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, HEYER,ALLIE, BANEY,PAYTON","24 33 22 5 15",4,5,5,186,6,4,-3,0,3,0,1,4,3,"emory2","BANEY,PAYTON HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"281","TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, HEYER,ALLIE, ARIAS,AVA","24 33 22 5 23",5,1,0,1,0,0,-5,0,0,0,0,0,3,"emory2","ARIAS,AVA HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"282","TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, CHINTALA,ANISHA, ARIAS,AVA","24 33 22 10 23",5,2,2,78,1,2,-5,0,1,2,1,2,4,"emory2","ARIAS,AVA CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"283","TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, CHINTALA,ANISHA, BANEY,PAYTON","24 33 22 10 15",4,7,8,300,5,9,-4,2,7,2,4,5,4,"emory2","BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"284","TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA, BANEY,PAYTON","24 33 22 23 15",4,4,3,138,5,5,0,3,5,0,4,5,4,"emory2","ARIAS,AVA BANEY,PAYTON NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"285","TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, CHINTALA,ANISHA, BANEY,PAYTON","24 33 22 10 15",4,13,12,384,3,15,0,1,6,8,7,13,4,"emory2","BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"286","BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA","15 4 10 22 33",3,10,10,322,10,4,0,3,5,0,3,8,1,"johns hopkins","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"287","ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA","23 4 10 22 33",4,0,0,14,0,0,-6,0,0,0,0,0,1,"johns hopkins","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"288","ARIAS,AVA, GIBBS,SAVANNAH, TIMKO,NICOLE, OR,CATHERINE, NAMBISAN,ISHA","23 4 24 22 33",4,3,2,67,2,0,-6,0,1,0,2,3,1,"johns hopkins","ARIAS,AVA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"289","ARIAS,AVA, BANEY,PAYTON, TIMKO,NICOLE, OR,CATHERINE, NAMBISAN,ISHA","23 15 24 22 33",4,3,4,154,4,0,-8,2,4,0,2,6,1,"johns hopkins","ARIAS,AVA BANEY,PAYTON NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"290","ARIAS,AVA, BANEY,PAYTON, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA","23 15 24 22 10",4,1,1,43,0,0,-12,1,1,0,2,2,1,"johns hopkins","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA OR,CATHERINE TIMKO,NICOLE"
"291","NAMBISAN,ISHA, BANEY,PAYTON, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA","33 15 24 22 10",4,6,6,191,0,9,-12,3,6,0,5,8,2,"johns hopkins","BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"292","NAMBISAN,ISHA, GIBBS,SAVANNAH, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA","33 4 24 22 10",4,8,8,274,6,11,-3,2,7,0,4,8,2,"johns hopkins","CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"293","NAMBISAN,ISHA, GIBBS,SAVANNAH, ARIAS,AVA, OR,CATHERINE, CHINTALA,ANISHA","33 4 23 22 10",4,3,4,135,3,4,2,1,4,0,2,4,2,"johns hopkins","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"294","NAMBISAN,ISHA, GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE, CHINTALA,ANISHA","33 4 15 22 10",3,11,10,322,14,4,3,5,8,0,7,11,3,"johns hopkins","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"295","NAMBISAN,ISHA, GIBBS,SAVANNAH, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA","33 4 24 22 10",4,2,2,43,2,0,-7,0,1,0,0,1,3,"johns hopkins","CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"296","NAMBISAN,ISHA, GIBBS,SAVANNAH, TIMKO,NICOLE, OR,CATHERINE, ARIAS,AVA","33 4 24 22 23",4,4,5,126,7,4,-9,1,4,2,1,5,3,"johns hopkins","ARIAS,AVA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"297","NAMBISAN,ISHA, GIBBS,SAVANNAH, TIMKO,NICOLE, OR,CATHERINE, BANEY,PAYTON","33 4 24 22 15",3,2,2,75,2,2,-12,0,2,0,0,2,3,"johns hopkins","BANEY,PAYTON GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"298","NAMBISAN,ISHA, GIBBS,SAVANNAH, TIMKO,NICOLE, CHINTALA,ANISHA, BANEY,PAYTON","33 4 24 10 15",3,1,1,34,0,0,-12,0,2,0,2,3,3,"johns hopkins","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA TIMKO,NICOLE"
"299","OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE, CHINTALA,ANISHA, BANEY,PAYTON","22 4 24 10 15",3,3,4,144,0,4,-12,0,4,0,2,4,4,"johns hopkins","BANEY,PAYTON CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"300","OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE, NAMBISAN,ISHA, BANEY,PAYTON","22 4 24 33 15",3,2,2,72,0,0,-8,1,2,0,1,4,4,"johns hopkins","BANEY,PAYTON GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"301","OR,CATHERINE, CHINTALA,ANISHA, TIMKO,NICOLE, NAMBISAN,ISHA, BANEY,PAYTON","22 10 24 33 15",4,11,10,329,9,9,-8,4,7,2,3,8,4,"johns hopkins","BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"302","OR,CATHERINE, HEYER,ALLIE, TIMKO,NICOLE, NAMBISAN,ISHA, BANEY,PAYTON","22 5 24 33 15",4,2,2,31,4,2,-8,0,1,2,1,3,4,"johns hopkins","BANEY,PAYTON HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"303","OR,CATHERINE, TIMKO,NICOLE, GIBBS,SAVANNAH, NAMBISAN,ISHA, BANEY,PAYTON","22 24 4 33 15",3,2,2,19,5,5,-10,1,2,0,0,1,4,"johns hopkins","BANEY,PAYTON GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"304","OR,CATHERINE, TIMKO,NICOLE, GIBBS,SAVANNAH, NAMBISAN,ISHA, LAFOND,LIV","22 24 4 33 43",3,0,1,5,0,0,-10,0,1,0,0,0,4,"johns hopkins","GIBBS,SAVANNAH LAFOND,LIV NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"305","GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA","4 10 22 23 33",4,8,8,261,0,7,0,2,8,4,7,12,1,"la roche","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"306","BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, TIMKO,NICOLE","15 10 22 23 24",4,2,2,104,0,4,7,0,2,0,1,2,1,"la roche","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA OR,CATHERINE TIMKO,NICOLE"
"307","BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, HEYER,ALLIE, TIMKO,NICOLE","15 10 22 5 24",4,1,1,52,0,0,11,2,2,0,1,2,1,"la roche","BANEY,PAYTON CHINTALA,ANISHA HEYER,ALLIE OR,CATHERINE TIMKO,NICOLE"
"308","BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE, HEYER,ALLIE, TIMKO,NICOLE","15 33 22 5 24",4,3,2,57,1,3,11,1,1,0,0,0,1,"la roche","BANEY,PAYTON HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"309","GIBBS,SAVANNAH, NAMBISAN,ISHA, OR,CATHERINE, HEYER,ALLIE, TIMKO,NICOLE","4 33 22 5 24",4,3,3,126,6,0,13,2,4,0,2,4,1,"la roche","GIBBS,SAVANNAH HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"310","GIBBS,SAVANNAH, ARIAS,AVA, OR,CATHERINE, CHINTALA,ANISHA, TIMKO,NICOLE","4 23 22 10 24",4,2,3,63,0,0,7,0,1,0,1,2,2,"la roche","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"311","GIBBS,SAVANNAH, ARIAS,AVA, OR,CATHERINE, CHINTALA,ANISHA, LIGOTTI,PIPER","4 23 22 10 3",4,5,4,146,0,4,7,1,5,0,4,6,2,"la roche","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE"
"312","GIBBS,SAVANNAH, ARIAS,AVA, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE","4 23 22 33 24",4,4,5,167,7,7,11,1,5,0,1,5,2,"la roche","ARIAS,AVA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"313","GIBBS,SAVANNAH, ARIAS,AVA, CHINTALA,ANISHA, NAMBISAN,ISHA, TIMKO,NICOLE","4 23 10 33 24",4,3,2,53,4,0,11,1,1,0,1,1,2,"la roche","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA TIMKO,NICOLE"
