"","GAME","SCORE","3G","4G","3G MEDIAN NET RATING","4G MEDIAN NET RATING","NET RATING DIFFERENCE","NET RATING MANN-WHITNEY P-VALUE","3G MEDIAN TRB%","4G MEDIAN TRB%","TRB% DIFFERENCE","TRB% MANN-WHITNEY P-VALUE","3G MEDIAN 3PA/FGA","4G MEDIAN 3PA/FGA","3PA/FGA DIFFERENCE","3PA/FGA MANN-WHITNEY P-VALUE","3G MEDIAN TRUE SHOOTING %","4G MEDIAN TRUE SHOOTING %","TRUE SHOOTING % DIFFERENCE","TRUE SHOOTING % MANN-WHITNEY P-VALUE","3G MEDIAN PACE","4G MEDIAN PACE","PACE DIFFERENCE","PACE MANN-WHITNEY P-VALUE","3G MEDIAN DEFENSIVE RATING","4G MEDIAN DEFENSIVE RATING","DEFENSIVE RATING DIFFERENCE","DEFENSIVE RATING MANN-WHITNEY P-VALUE","3G MEDIAN OFFENSIVE RATING","4G MEDIAN OFFENSIVE RATING","OFFENSIVE RATING DIFFERENCE","OFFENSIVE RATING MANN-WHITNEY P-VALUE"
"1","allegheny"," ",4,4,78.96,22.62,56.34,0.31,75,56.25,18.75,0.11,0.31,0.1,0.21,0.66,48.81,38.71,10.1,1,73.27,78.62,5.35,0.67,36.67,69.05,32.38,1,115.62,58.33,57.29,0.3
"2","washington & jefferson"," ",2,9,-65.28,-58.33,6.94,1,39.23,50,10.77,0.63,0.32,0.27,0.05,0.72,14.29,50,35.71,0.34,70.12,65.75,4.36,0.91,87.5,100,12.5,0.55,22.22,66.67,44.44,0.24
"3","pitt.-greensburg"," ",1,9,80.95,25,55.95,0.73,75,75,0,1,0.57,0.33,0.24,0.47,50.76,50.38,0.38,1,71.89,77.42,5.53,0.73,33.33,66.67,33.33,0.48,114.29,100,14.29,0.73
"4","capital"," ",3,10,75.45,-8.33,83.79,0.67,50,47.73,2.27,0.61,0.5,0.5,0,0.54,81.97,50,31.97,0.67,69.36,76.63,7.26,0.55,100,100,0,0.93,145.45,91.67,53.79,0.8
"5","pitt.-greensburg2"," ",3,6,125,-3.33,128.33,0.52,66.67,57,9.67,0.6,0.67,0.5,0.17,0.69,78.83,62.01,16.82,1,74.23,72.71,1.52,1,0,83.33,83.33,0.69,125,77.83,47.17,0.6
"6","geneva"," ",4,8,27.78,41.67,13.89,0.61,52.78,60,7.22,0.7,0.6,0.12,0.48,0.07,73.51,33.33,40.18,0.11,83.2,92.33,9.13,0.44,147.22,29.41,117.81,0.09,137.5,65,72.5,0.27
"7","case western reserve"," ",1,9,50,41.67,8.33,0.86,66.67,75,8.33,0.72,0.5,0.33,0.17,0.6,87.5,57.12,30.38,0.16,84.21,75,9.21,0.72,125,50,75,0.29,175,100,75,0.29
"8","washu"," ",1,12,50,-32.14,82.14,0.35,0,50,50,0.17,0,0,0,0.52,100,50,50,0.25,77.06,77.17,0.11,1,100,108.33,8.33,0.89,150,81.75,68.25,0.35
"9","washu2"," ",1,10,-33.33,5.57,38.9,0.87,33.33,50,16.67,0.34,0.2,0.33,0.13,0.52,40,56.26,16.26,0.87,67.53,77.5,9.97,0.27,100,89.29,10.71,0.87,66.67,110,43.33,0.87
